Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,451
design__inferred_latch__count,0
design__instance__count,112873
design__instance__area,731537
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1671
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,446
design__max_cap_violation__count__corner:nom_tt_025C_1v80,6
power__internal__total,0.028582628816366196
power__switching__total,0.009970888495445251
power__leakage__total,8.475392974105489E-7
power__total,0.038554366677999496
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.6350320449231776
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.45125163216667025
timing__hold__ws__corner:nom_tt_025C_1v80,0.34089398935229476
timing__setup__ws__corner:nom_tt_025C_1v80,7.505555500661194
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.340894
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.505556
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,14845
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,446
design__max_cap_violation__count__corner:nom_ss_100C_1v60,77
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.924517155666262
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5781820741386973
timing__hold__ws__corner:nom_ss_100C_1v60,0.8665450824390579
timing__setup__ws__corner:nom_ss_100C_1v60,-4.0288999943267605
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-279.2192582844012
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-4.0288999943267605
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.866545
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,99
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-4.028900
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,99
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,409
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,446
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,5
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5155201966782348
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3939441939719551
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11982237763371277
timing__setup__ws__corner:nom_ff_n40C_1v95,10.736895232358028
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119822
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.064480
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,16712
design__max_fanout_violation__count,446
design__max_cap_violation__count,110
clock__skew__worst_hold,-0.4965842322346825
clock__skew__worst_setup,0.37530282721631886
timing__hold__ws,0.11735046599947442
timing__setup__ws,-4.787416820700864
timing__hold__tns,0.0
timing__setup__tns,-361.9956419304159
timing__hold__wns,0
timing__setup__wns,-4.787416820700864
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117350
timing__hold_r2r_vio__count,0
timing__setup_vio__count,340
timing__setup_r2r__ws,-4.787417
timing__setup_r2r_vio__count,340
design__die__bbox,0.0 0.0 867.76 878.48
design__core__bbox,5.52 10.88 862.04 864.96
design__io,36
design__die__area,762310
design__core__area,731537
design__instance__count__stdcell,52878
design__instance__area__stdcell,542893
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.742127
design__instance__utilization__stdcell,0.742127
design__rows,314
design__rows:unithd,314
design__sites,584668
design__sites:unithd,584668
design__instance__count__class:inverter,50
design__instance__area__class:inverter,187.68
design__instance__count__class:sequential_cell,8980
design__instance__area__class:sequential_cell,191008
design__instance__count__class:multi_input_combinational_cell,16593
design__instance__area__class:multi_input_combinational_cell,175791
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,59995
design__instance__area__class:fill_cell,188643
design__instance__count__class:tap_cell,10428
design__instance__area__class:tap_cell,13047.5
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,34
design__io__hpwl,9402898
flow__warnings__count:GRT-0281,5
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,81000.5
design__instance__displacement__mean,1.538
design__instance__displacement__max,34.56
route__wirelength__estimated,1.36997E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,14588
design__instance__area__class:timing_repair_buffer,141560
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,1322
design__instance__area__class:clock_buffer,18684.2
design__instance__count__class:clock_inverter,46
design__instance__area__class:clock_inverter,435.418
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,42
global_route__vias,48
global_route__wirelength,2242983
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,242
design__instance__count__class:antenna_cell,871
design__instance__area__class:antenna_cell,2179.59
flow__warnings__count:GRT-0243,1
route__net,41275
route__net__special,2
route__drc_errors__iter:0,47
route__wirelength__iter:0,1612954
route__drc_errors__iter:1,6
route__wirelength__iter:1,1612944
route__drc_errors__iter:2,7
route__wirelength__iter:2,1612940
route__drc_errors__iter:3,0
route__wirelength__iter:3,1612924
route__drc_errors__iter:4,0
route__wirelength__iter:4,1612928
route__drc_errors__iter:5,0
route__wirelength__iter:5,1612811
route__drc_errors,0
route__wirelength,1612924
route__vias,311830
route__vias__singlecut,311830
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1229.78
timing__unannotated_net__count__corner:nom_tt_025C_1v80,306
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
